ID    Name                                              Type        Ping      AvgSpeed       MaxSpeed       
------------------------------------------------------------------------------------------------------------
1     🇨🇭CH-92.119.165.11-0020                           vless       404ms     3.56 MB/s      3.56 MB/s      
2     CLOUDFLARE-162.159.33.40-0023                     vless       64ms      3.56 MB/s      3.56 MB/s      
3     CLOUDFLARE-162.159.33.40-0024                     vless       63ms      3.56 MB/s      3.56 MB/s      
4     CLOUDFLARE-172.64.158.90-0025                     vless       75ms      3.56 MB/s      3.56 MB/s      
5     CLOUDFLARE-104.16.58.115-0026                     vless       39ms      3.56 MB/s      3.56 MB/s      
6     CLOUDFLARE-104.16.58.115-0027                     vless       77ms      3.56 MB/s      3.56 MB/s      
7     CLOUDFLARE-104.17.4.195-0028                      vless       50ms      3.56 MB/s      3.56 MB/s      
8     CLOUDFLARE-104.19.38.35-0029                      vless       48ms      3.56 MB/s      3.56 MB/s      
9     CLOUDFLARE-104.18.251.45-0030                     vless       47ms      3.56 MB/s      3.56 MB/s      
10    CLOUDFLARE-104.18.173.103-0031                    vless       62ms      3.56 MB/s      3.56 MB/s      
11    CLOUDFLARE-104.17.48.197-0032                     vless       54ms      3.56 MB/s      3.56 MB/s      
12    CLOUDFLARE-104.18.191.0-0033                      vless       63ms      3.56 MB/s      3.56 MB/s      
13    CLOUDFLARE-104.19.35.169-0034                     vless       54ms      3.56 MB/s      3.56 MB/s      
14    CLOUDFLARE-162.159.153.70-0035                    vless       55ms      3.56 MB/s      3.56 MB/s      
15    CLOUDFLARE-172.64.158.90-0036                     vless       51ms      3.56 MB/s      3.56 MB/s      
16    🇬🇧GB-152.233.28.198-0037                          vless       399ms     3.56 MB/s      3.56 MB/s      
17    🇩🇪DE-31.56.7.90-0038                              vless       2000ms    3.56 MB/s      3.56 MB/s      
18    🇩🇪DE-89.106.95.206-0039                           vless       355ms     3.56 MB/s      3.56 MB/s      
19    🇺🇸US-152.53.80.40-0048                            vless       306ms     3.56 MB/s      3.56 MB/s      
20    🇺🇸US-135.84.67.42-0060                            vless       52ms      3.56 MB/s      3.56 MB/s      
21    CLOUDFLARE-172.64.147.223-0061                    vless       55ms      3.56 MB/s      3.56 MB/s      
22    CLOUDFLARE-104.19.44.117-0062                     vless       80ms      3.56 MB/s      3.56 MB/s      
23    🇩🇪DE-35.156.76.43-0064                            vless       493ms     3.56 MB/s      3.56 MB/s      
24    CLOUDFLARE-27.50.48.191-0066                      vless       71ms      3.56 MB/s      3.56 MB/s      
25    CLOUDFLARE-199.181.197.138-0068                   vless       48ms      3.56 MB/s      3.56 MB/s      
26    CLOUDFLARE-89.116.180.138-0070                    vless       50ms      3.56 MB/s      3.56 MB/s      
27    CLOUDFLARE-8.6.112.191-0071                       vless       51ms      3.56 MB/s      3.56 MB/s      
28    CLOUDFLARE-104.20.6.134-0072                      trojan      401ms     3.56 MB/s      3.56 MB/s      
29    🇺🇸US-135.84.72.75-0073                            vless       40ms      3.56 MB/s      3.56 MB/s      
30    🇺🇸US-45.40.154.191-0074                           vless       52ms      3.56 MB/s      3.56 MB/s      
31    🇺🇸US-160.153.1.216-0075                           vless       83ms      3.56 MB/s      3.56 MB/s      
32    🇺🇸US-135.84.67.41-0077                            vless       54ms      3.56 MB/s      3.56 MB/s      
33    CLOUDFLARE-162.159.36.20-0078                     vless       60ms      3.56 MB/s      3.56 MB/s      
34    CLOUDFLARE-8.6.112.0-0079                         vless       54ms      3.56 MB/s      3.56 MB/s      
35    CLOUDFLARE-162.159.153.231-0080                   vless       50ms      3.56 MB/s      3.56 MB/s      
36    CLOUDFLARE-8.6.112.0-0081                         vless       59ms      3.56 MB/s      3.56 MB/s      
37    CLOUDFLARE-8.6.112.0-0082                         trojan      383ms     3.56 MB/s      3.56 MB/s      
38    CLOUDFLARE-8.6.112.0-0083                         vless       65ms      3.56 MB/s      3.56 MB/s      
39    CLOUDFLARE-104.18.16.56-0085                      vless       54ms      3.56 MB/s      3.56 MB/s      
40    CLOUDFLARE-164.38.155.138-0087                    vless       45ms      3.56 MB/s      3.56 MB/s      
41    🇫🇷FR-51.75.24.59-0091                             vless       541ms     3.56 MB/s      3.56 MB/s      
42    🇫🇷FR-152.228.135.204-0096                         vless       537ms     3.56 MB/s      3.56 MB/s      
43    CLOUDFLARE-104.25.109.237-0100                    trojan      369ms     3.56 MB/s      3.56 MB/s      
44    CLOUDFLARE-172.66.44.211-0105                     trojan      476ms     3.56 MB/s      3.56 MB/s      
45    🇺🇸US-64.94.95.118-0121                            trojan      154ms     3.56 MB/s      3.56 MB/s      
46    CLOUDFLARE-188.244.122.138-0372                   vless       49ms      3.56 MB/s      3.56 MB/s      
47    🇳🇱NL-20.16.105.244-0374                           vless       476ms     3.56 MB/s      3.56 MB/s      
48    CLOUDFLARE-154.92.9.156-0548                      vless       47ms      3.56 MB/s      3.56 MB/s      
49    🇩🇪DE-194.154.30.150-0043                          vless       511ms     3.42 MB/s      3.42 MB/s      
50    CLOUDFLARE-172.67.68.157-0067                     vless       1221ms    1.78 MB/s      2.36 MB/s      
51    🇩🇪DE-91.99.9.125-0094                             vless       548ms     1.78 MB/s      3.34 MB/s      
52    🇱🇻LV-83.222.20.64-0099                            vless       753ms     1.78 MB/s      2.47 MB/s      
53    🇰🇷KR-152.67.208.31-0201                           vmess       1093ms    1.78 MB/s      3.05 MB/s      
54    🇫🇷FR-62.210.124.146-0549                          hysteria2   440ms     0.99 MB/s      2.56 MB/s      
55    SC-103.227.84.1-0021                              vless       443ms     0.82 MB/s      1.02 MB/s      
